nombre_entidad,n_contratos,valor_total,proveedores_distintos
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,11366,29961040909785,2857
INSTITUCIÓN UNIVERSITARIA ITM,59445,22564961871446,14210
DEPARTAMENTO DE ANTIOQUIA//,7591,14927096461831,1477
INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,26205,9838672567124,5105
Institución Universitaria Pascual Bravo COMPRADOR,25865,7786969796703,6130
ICBF REGIONAL ANTIOQUIA,5884,1845034323627,1802
AGENCIA DE EDUCACIÓN POSTSECUNDARIA DE MEDELLÍN -SAPIENCIA-,2817,788478810264,792
CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA,2074,589575172578,698
INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA,24946,500114465023,7127
SENA REGIONAL ANTIOQUIA Grupo de Apoyo Administrativo Mixto,10108,471314072106,3425
INSTITUTO DEPARTAMENTAL DE DEPORTES DE ANTIOQUIA,3281,464953907213,1110
SENA REGIONAL ANTIOQUIA Grupo Administrativo Intercentros Medellin,6147,215272190190,1880
EMPRESA DE DESARROLLO URBANO DE MEDELLIN,358,214479729898,121
ISVIMED,3114,209204738475,833
POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,4498,186929822746,2079
IU. Digital,3417,183448897231,983
BIBLIOTECA PUBLICA PILOTO DE MEDELLIN PARA AMERICA LATINA,7464,148273335599,1856
ASOCIACIÓN DE MUNICIPIOS DEL NORTE ANTIOQUEÑO- AMUNORTE,536,145570676305,182
Rama Judicial  Dirección Seccional de Administración Judicial de Medellín,632,118540744592,297
DISPENSARIO MEDICO DE MEDELLIN//,2433,111617293105,1153
