identificador,id_contrato,tipo,descripcion,fecharegistro
CO1.CTRMOD.5384769,CO1.PCCNTR.1910727,MODIFICACION GENERAL,PRORROGA N° 1 DEL CONTRATO,2021-01-04T00:00:00.000
CO1.CTRMOD.11672015,CO1.PCCNTR.2054737,No definido,SE TERMINA EL CONTRATO POR VENCIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE,2023-07-05T00:00:00.000
CO1.CTRMOD.11672015,CO1.PCCNTR.2054737,No definido,SE TERMINA EL CONTRATO POR VENCIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE,2023-07-05T00:00:00.000
CO1.CTRMOD.11675153,CO1.PCCNTR.2054880,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.11675153,CO1.PCCNTR.2054880,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.11675062,CO1.PCCNTR.2054965,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.11675062,CO1.PCCNTR.2054965,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.11675062,CO1.PCCNTR.2054965,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.11677078,CO1.PCCNTR.2055062,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.11677078,CO1.PCCNTR.2055062,No definido,SE TERMINA EL CONTRATO POR CUMPLIMIENTO DEL PLAZO CONTRACTUAL Y SE LIQUIDA BILATERALMENTE.,2023-07-05T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,No definido,Sin Descripción,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,SE PUBLICA ACTA DE LIQUIDACIoN DEL CONTRATO 4600088527,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,Sin Descripción,2026-02-02T00:00:00.000
CO1.CTRMOD.22070800,CO1.PCCNTR.2077207,CONCLUSION,Sin Descripción,2026-02-02T00:00:00.000
CO1.CTRMOD.7981380,CO1.PCCNTR.255327,ADICION EN EL VALOR,Sin Descripción,2022-03-02T00:00:00.000
CO1.CTRMOD.7983433,CO1.PCCNTR.255327,No definido,SE PUBLICA LIQUIDACIoN DEL PROCESO,2022-03-02T00:00:00.000
CO1.CTRMOD.7983226,CO1.PCCNTR.255327,MODIFICACION GENERAL,SE PUBLICA MODIFICACIoN DEL CONVENIO; CONSISTENTE EN PRoRROGA Y ADICIoN,2022-03-02T00:00:00.000
CO1.CTRMOD.8030461,CO1.PCCNTR.2592274,MODIFICACION GENERAL,OTRO SI NO 3. (SE ANEXA DOCUMENTO),2022-03-03T00:00:00.000
CO1.CTRMOD.7841221,CO1.PCCNTR.2592274,MODIFICACION GENERAL,OTRO SI NO 2.,2022-03-01T00:00:00.000
CO1.CTRMOD.8662749,CO1.PCCNTR.2592274,MODIFICACION GENERAL,DE ACUERDO CON LA SOLICITUD REALIZADA POR VALOR + PARA LA AMPLIACIoN DEL CONTRATO 4600012028 POR DOS MESES DE PRoRROGA; HASTA EL TREINTA Y UNO (31) DE AGOSTO DE 2022; SUSTENTADA EN QUE ACTUALMENTE ESTa EJECUTANDO EL COMPONENTE 7 DE DICHO CONTRATO; QUE TIENE COMO ALCANCE: AJUSTE DEL DISEÑO DEL LEVANTAMIENTO CON EL ESQUEMA BaSICO DE CIRCUITO CERRADO DE TELEVISIoN-CCTV PARA CINCUENTA Y DOS (52) MUNICIPIOS ADICIONALES A LOS VEINTITReS (23) CONTRATADOS INICIALMENTE; PARA UN TOTAL DE 75 MUNICIPIOS; PARA LA IMPLEMENTACIoN DE SISTEMAS DE VIDEOVIGILANCIA. EN EFECTO; A LA FECHA LA GOBERNACIoN DE ANTIOQUIA SOLAMENTE HA RECIBIDO CARTA DE UN TOTAL DE 22 MUNICIPIOS INTERESADOS EN PARTICIPAR EN EL PROYECTO DE IMPLEMENTACIoN DE CCTV Y DE LOS CUALES SoLO 16 MUNICIPIOS HAN ENTREGADO LA INFORMACIoN DE LOS CUATRO (4) PUNTOS NECESARIOS PARA PODER REALIZAR EL AJUSTE AL DISEÑO DE CCTV.,2022-07-01T00:00:00.000
CO1.CTRMOD.7336062,CO1.PCCNTR.2592274,MODIFICACION GENERAL,OTROSi N° 01 AL CONTRATO NO. 4600012028 CELEBRADO ENTRE LA SECRETARiA DE SEGURIDAD Y JUSTICIA-GOBERNACIoN DE ANTIOQUIA Y LA EMPRESA VALOR+.,2021-01-01T00:00:00.000
CO1.CTRMOD.1122023,CO1.PCCNTR.299410,No definido,SE REALIZo APLICACIoN DEL CONTRATO DE UN MES CALENDARIO; TENIENDO EN CUENTA QUE EL SERVICIO QUE PRESTA DECEVAL AL MUNICIPIO DE MEDELLIN NO SE PUEDE INTERRUMPIR EN EL LAPSO DE TERMINACIoN DEL CONTRATO; YA QUE CONLLEVA A  LA POSIBLE MATERIALIZACIoN DE ALGuN RIESGOS FINANCIEROS Y OPERATIVOS PARA EL PORTAFOLIO DE INVERSIONES DEL ENTE TERRITORIAL.,2019-06-04T00:00:00.000
CO1.CTRMOD.1131909,CO1.PCCNTR.299410,No definido,SE LIQUIDA BILATERALMENTE EL CONTRATO,2019-06-06T00:00:00.000
CO1.CTRMOD.729726,CO1.PCCNTR.299410,MODIFICACION GENERAL,AMPLIAR EL CONTRATO 4600073472 HASTA EL 31 DE ENERO DE 2019.,2019-01-02T00:00:00.000
CO1.CTRMOD.1209730,CO1.PCCNTR.299410,No definido,Sin Descripción,2019-07-02T00:00:00.000
CO1.CTRMOD.431235,CO1.PCCNTR.346002,No definido,UNA VEZ TERMINADO EL PLAZO PACTADO EN EL PRESENTE CONTRATO; SE HACE NECESARIO REALIZAR LA RESPECTIVA LIQUIDACIoN. SE DEBE TENER EN CUENTA QUE TANTO EN LOS ESTUDIOS PREVIOS; COMO EN LA ACEPTACIoN DE LA OFERTA; SE TENiA ESTIPULADO QUE SE EJECUTARiA LA TOTALIDAD DEL PRESUPUESTO OFICIAL; ASi LAS COSAS; ASi SE HAYA ACEPTADO LA OFERTA POR UN MENOR VALOR; SE EJECUTo EL CONTRATO POR LO REALMENTE FACTURADO.,2018-08-01T00:00:00.000
